USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root           1  0.0  0.0  42124 15684 ?        Ss   Feb17   0:16 /usr/lib/systemd/systemd --switched-root --system --deserialize=55 rhgb
root          54  0.0  0.0      0     0 ?        S    Feb17   0:00 [migration/12]
root          55  0.0  0.0      0     0 ?        S    Feb17   0:00 [ksoftirqd/12]
root          57  0.0  0.0      0     0 ?        I<   Feb17   0:00 [kworker/12:0H-events_highpri]
root          58  0.0  0.0      0     0 ?        S    Feb17   0:00 [cpuhp/14]
root          59  0.0  0.0      0     0 ?        S    Feb17   0:00 [idle_inject/14]
root          60  0.0  0.0      0     0 ?        S    Feb17   0:01 [migration/14]
root          61  0.0  0.0      0     0 ?        S    Feb17   0:02 [ksoftirqd/14]
root          63  0.0  0.0      0     0 ?        I<   Feb17   0:00 [kworker/14:0H-events_highpri]
root          64  0.0  0.0      0     0 ?        S    Feb17   0:00 [cpuhp/1]
root          65  0.0  0.0      0     0 ?        S    Feb17   0:00 [idle_inject/1]
root          66  0.0  0.0      0     0 ?        S    Feb17   0:00 [migration/1]
root          67  0.0  0.0      0     0 ?        S    Feb17   0:01 [ksoftirqd/1]
root          69  0.0  0.0      0     0 ?        I<   Feb17   0:00 [kworker/1:0H-events_highpri]
root          70  0.0  0.0      0     0 ?        S    Feb17   0:00 [cpuhp/3]
root          71  0.0  0.0      0     0 ?        S    Feb17   0:00 [idle_inject/3]
root          72  0.0  0.0      0     0 ?        S    Feb17   0:00 [migration/3]
root          73  0.0  0.0      0     0 ?        S    Feb17   0:00 [ksoftirqd/3]
root          75  0.0  0.0      0     0 ?        I<   Feb17   0:00 [kworker/3:0H-events_highpri]
root          76  0.0  0.0      0     0 ?        S    Feb17   0:00 [cpuhp/5]
root          77  0.0  0.0      0     0 ?        S    Feb17   0:00 [idle_inject/5]
root          78  0.0  0.0      0     0 ?        S    Feb17   0:00 [migration/5]
root          79  0.0  0.0      0     0 ?        S    Feb17   0:00 [ksoftirqd/5]
root          81  0.0  0.0      0     0 ?        I<   Feb17   0:00 [kworker/5:0H-events_highpri]
root          82  0.0  0.0      0     0 ?        S    Feb17   0:00 [cpuhp/7]
root          83  0.0  0.0      0     0 ?        S    Feb17   0:00 [idle_inject/7]
root          84  0.0  0.0      0     0 ?        S    Feb17   0:00 [migration/7]
root          85  0.0  0.0      0     0 ?        S    Feb17   0:00 [ksoftirqd/7]
root          87  0.0  0.0      0     0 ?        I<   Feb17   0:00 [kworker/7:0H-events_highpri]
root          88  0.0  0.0      0     0 ?        S    Feb17   0:00 [cpuhp/9]
root          89  0.0  0.0      0     0 ?        S    Feb17   0:00 [idle_inject/9]
root          90  0.0  0.0      0     0 ?        S    Feb17   0:00 [migration/9]
root          91  0.0  0.0      0     0 ?        S    Feb17   0:04 [ksoftirqd/9]
root          93  0.0  0.0      0     0 ?        I<   Feb17   0:00 [kworker/9:0H-events_highpri]
root          94  0.0  0.0      0     0 ?        S    Feb17   0:00 [cpuhp/11]
root          95  0.0  0.0      0     0 ?        S    Feb17   0:00 [idle_inject/11]
root          96  0.0  0.0      0     0 ?        S    Feb17   0:00 [migration/11]
root          97  0.0  0.0      0     0 ?        S    Feb17   0:00 [ksoftirqd/11]
root          99  0.0  0.0      0     0 ?        I<   Feb17   0:00 [kworker/11:0H-events_highpri]
root         100  0.0  0.0      0     0 ?        S    Feb17   0:00 [cpuhp/13]
root         101  0.0  0.0      0     0 ?        S    Feb17   0:00 [idle_inject/13]
root         102  0.0  0.0      0     0 ?        S    Feb17   0:00 [migration/13]
root         103  0.0  0.0      0     0 ?        S    Feb17   0:00 [ksoftirqd/13]
root         105  0.0  0.0      0     0 ?        I<   Feb17   0:00 [kworker/13:0H-events_highpri]
root         106  0.0  0.0      0     0 ?        S    Feb17   0:00 [cpuhp/15]
root         107  0.0  0.0      0     0 ?        S    Feb17   0:00 [idle_inject/15]
root         108  0.0  0.0      0     0 ?        S    Feb17   0:01 [migration/15]
root         109  0.0  0.0      0     0 ?        S    Feb17   0:00 [ksoftirqd/15]
root         111  0.0  0.0      0     0 ?        I<   Feb17   0:00 [kworker/15:0H-events_highpri]
root         114  0.0  0.0      0     0 ?        S    Feb17   0:00 [kdevtmpfs]
root         115  0.0  0.0      0     0 ?        I<   Feb17   0:00 [kworker/R-inet_frag_wq]
root         116  0.0  0.0      0     0 ?        I    Feb17   0:00 [rcu_tasks_kthread]
root         117  0.0  0.0      0     0 ?        I    Feb17   0:00 [rcu_tasks_rude_kthread]
root         118  0.0  0.0      0     0 ?        I    Feb17   0:00 [rcu_tasks_trace_kthread]
root         119  0.0  0.0      0     0 ?        S    Feb17   0:00 [kauditd]
root         120  0.0  0.0      0     0 ?        S    Feb17   0:00 [oom_reaper]
root         123  0.0  0.0      0     0 ?        I<   Feb17   0:00 [kworker/R-writeback]
root         124  0.0  0.0      0     0 ?        S    Feb17   0:38 [kcompactd0]
root         125  0.0  0.0      0     0 ?        SN   Feb17   0:00 [ksmd]
root         126  0.0  0.0      0     0 ?        SN   Feb17   0:03 [khugepaged]
root         127  0.0  0.0      0     0 ?        I<   Feb17   0:00 [kworker/R-kblockd]
root         128  0.0  0.0      0     0 ?        I<   Feb17   0:00 [kworker/R-blkcg_punt_bio]
root         129  0.0  0.0      0     0 ?        I<   Feb17   0:00 [kworker/R-kintegrityd]
root         130  0.0  0.0      0     0 ?        S    Feb17   0:00 [irq/9-acpi]
root         131  0.0  0.0      0     0 ?        I<   Feb17   0:00 [kworker/R-tpm_dev_wq]
root         132  0.0  0.0      0     0 ?        I<   Feb17   0:00 [kworker/R-ata_sff]
root         133  0.0  0.0      0     0 ?        I<   Feb17   0:00 [kworker/R-md]
root         134  0.0  0.0      0     0 ?        I<   Feb17   0:00 [kworker/R-md_bitmap]
root         135  0.0  0.0      0     0 ?        I<   Feb17   0:00 [kworker/R-edac-poller]
root         136  0.0  0.0      0     0 ?        I<   Feb17   0:00 [kworker/R-devfreq_wq]
root         137  0.0  0.0      0     0 ?        S    Feb17   0:00 [watchdogd]
root         138  0.0  0.0      0     0 ?        I<   Feb17   0:00 [kworker/R-quota_events_unbound]
root         140  0.0  0.0      0     0 ?        I<   Feb17   0:03 [kworker/1:1H-kblockd]
root         141  0.0  0.0      0     0 ?        S    Feb17   0:00 [irq/25-AMD-Vi0-Evt]
root         142  0.0  0.0      0     0 ?        S    Feb17   0:00 [irq/26-AMD-Vi0-PPR]
root         143  0.0  0.0      0     0 ?        S    Feb17   0:00 [irq/27-AMD-Vi0-GA]
root         145  0.1  0.0      0     0 ?        S    Feb17   3:02 [kswapd0]
root         146  0.0  0.0      0     0 ?        I<   Feb17   0:00 [kworker/R-cryptd]
root         150  0.0  0.0      0     0 ?        I<   Feb17   0:00 [kworker/R-kthrotld]
root         153  0.0  0.0      0     0 ?        S    Feb17   0:00 [irq/38-pciehp]
root         154  0.0  0.0      0     0 ?        I<   Feb17   0:00 [kworker/R-acpi_thermal_pm]
root         158  0.0  0.0      0     0 ?        I<   Feb17   0:00 [kworker/R-dm_bufio_cache]
root         159  0.0  0.0      0     0 ?        I<   Feb17   0:00 [kworker/R-mld]
root         161  0.0  0.0      0     0 ?        I<   Feb17   0:02 [kworker/8:1H-kblockd]
root         162  0.0  0.0      0     0 ?        I<   Feb17   0:00 [kworker/R-ipv6_addrconf]
root         164  0.0  0.0      0     0 ?        I<   Feb17   0:00 [kworker/R-kstrp]
root         245  0.0  0.0      0     0 ?        S    Feb17   0:00 [irq/28-ACPI:Event]
root         246  0.0  0.0      0     0 ?        I<   Feb17   0:02 [kworker/15:1H-kblockd]
root         247  0.0  0.0      0     0 ?        S    Feb17   0:00 [irq/29-ACPI:Event]
root         249  0.0  0.0      0     0 ?        S    Feb17   0:00 [irq/30-ACPI:Event]
root         250  0.0  0.0      0     0 ?        S    Feb17   0:00 [irq/31-ACPI:Event]
root         251  0.0  0.0      0     0 ?        S    Feb17   0:00 [irq/32-ACPI:Event]
root         252  0.0  0.0      0     0 ?        S    Feb17   0:00 [irq/33-ACPI:Event]
root         253  0.0  0.0      0     0 ?        S    Feb17   0:00 [irq/34-ACPI:Event]
root         254  0.0  0.0      0     0 ?        S    Feb17   0:00 [irq/35-ACPI:Event]
root         255  0.0  0.0      0     0 ?        S    Feb17   0:00 [irq/36-ACPI:Event]
root         256  0.0  0.0      0     0 ?        S    Feb17   0:00 [irq/37-ACPI:Event]
root         259  0.0  0.0      0     0 ?        I<   Feb17   0:03 [kworker/7:1H-kblockd]
root         261  0.0  0.0      0     0 ?        I<   Feb17   0:02 [kworker/11:1H-kblockd]
root         276  0.0  0.0      0     0 ?        I<   Feb17   0:03 [kworker/2:1H-kblockd]
root         301  0.0  0.0      0     0 ?        I<   Feb17   0:02 [kworker/12:1H-kblockd]
root         303  0.0  0.0      0     0 ?        I<   Feb17   0:03 [kworker/0:1H-kblockd]
root         308  0.0  0.0      0     0 ?        I<   Feb17   0:02 [kworker/14:1H-kblockd]
root         309  0.0  0.0      0     0 ?        I<   Feb17   0:02 [kworker/10:1H-kblockd]
root         311  0.0  0.0      0     0 ?        I<   Feb17   0:03 [kworker/5:1H-kblockd]
root         324  0.0  0.0      0     0 ?        I<   Feb17   0:02 [kworker/9:1H-kblockd]
root         338  0.0  0.0      0     0 ?        S    Feb17   0:00 [scsi_eh_0]
root         339  0.0  0.0      0     0 ?        I<   Feb17   0:00 [kworker/R-scsi_tmf_0]
root         365  0.0  0.0      0     0 ?        I<   Feb17   0:03 [kworker/6:1H-kblockd]
root         388  0.0  0.0      0     0 ?        I<   Feb17   0:03 [kworker/4:1H-kblockd]
root         465  0.0  0.0      0     0 ?        I<   Feb17   0:00 [kworker/R-vfio-irqfd-cleanup]
root         480  0.0  0.0      0     0 ?        I<   Feb17   0:00 [kworker/R-amdgpu-reset-dev]
root         481  0.0  0.0      0     0 ?        I<   Feb17   0:00 [kworker/R-ttm]
root         482  0.0  0.0      0     0 ?        I<   Feb17   0:00 [kworker/R-amdgpu_dm_hpd_rx_offload_wq]
root         483  0.0  0.0      0     0 ?        I<   Feb17   0:00 [kworker/R-amdgpu_dm_hpd_rx_offload_wq]
root         484  0.0  0.0      0     0 ?        I<   Feb17   0:00 [kworker/R-dm_vblank_control_workqueue]
root         485  0.0  0.0      0     0 ?        S    Feb17   0:00 [card0-crtc0]
root         486  0.0  0.0      0     0 ?        S    Feb17   0:00 [card0-crtc1]
root         487  0.0  0.0      0     0 ?        S    Feb17   0:00 [card0-crtc2]
root         488  0.0  0.0      0     0 ?        S    Feb17   0:00 [card0-crtc3]
root         489  0.0  0.0      0     0 ?        I<   Feb17   0:00 [kworker/R-gfx]
root         490  0.0  0.0      0     0 ?        I<   Feb17   0:00 [kworker/R-comp_1.0.0]
root         491  0.0  0.0      0     0 ?        I<   Feb17   0:00 [kworker/R-comp_1.1.0]
root         492  0.0  0.0      0     0 ?        I<   Feb17   0:00 [kworker/R-comp_1.2.0]
root         493  0.0  0.0      0     0 ?        I<   Feb17   0:00 [kworker/R-comp_1.3.0]
root         494  0.0  0.0      0     0 ?        I<   Feb17   0:00 [kworker/R-comp_1.0.1]
root         495  0.0  0.0      0     0 ?        I<   Feb17   0:00 [kworker/R-comp_1.1.1]
root         496  0.0  0.0      0     0 ?        I<   Feb17   0:00 [kworker/R-comp_1.2.1]
root         497  0.0  0.0      0     0 ?        I<   Feb17   0:00 [kworker/R-comp_1.3.1]
root         498  0.0  0.0      0     0 ?        I<   Feb17   0:00 [kworker/R-sdma0]
root         499  0.0  0.0      0     0 ?        I<   Feb17   0:00 [kworker/R-vcn_dec]
root         500  0.0  0.0      0     0 ?        I<   Feb17   0:00 [kworker/R-vcn_enc0]
root         501  0.0  0.0      0     0 ?        I<   Feb17   0:00 [kworker/R-vcn_enc1]
root         502  0.0  0.0      0     0 ?        I<   Feb17   0:00 [kworker/R-jpeg_dec]
root         507  0.0  0.0      0     0 ?        S    Feb17   0:00 [nv_queue]
root         508  0.0  0.0      0     0 ?        S    Feb17   0:00 [nv_mem_pool_scrubber_queue]
root         509  0.0  0.0      0     0 ?        S    Feb17   0:00 [nv_mem_pool_scrubber_queue]
root         510  0.0  0.0      0     0 ?        S    Feb17   0:00 [nv_mem_pool_scrubber_queue]
root         511  0.0  0.0      0     0 ?        S    Feb17   0:00 [nv_queue]
root         512  0.0  0.0      0     0 ?        S    Feb17   0:00 [nv_open_q]
root         516  0.0  0.0      0     0 ?        S    Feb17   0:01 [nvidia-modeset/kthread_q]
root         517  0.0  0.0      0     0 ?        S    Feb17   0:00 [nvidia-modeset/deferred_close_kthread_q]
root         518  0.0  0.0      0     0 ?        S    Feb17   0:00 [irq/66-nvidia]
root         520  0.0  0.0      0     0 ?        S    Feb17   0:00 [nv_queue]
root         530  0.0  0.0      0     0 ?        S    Feb17   0:00 [UVM global queue]
root         531  0.0  0.0      0     0 ?        S    Feb17   0:00 [UVM deferred release queue]
root         532  0.0  0.0      0     0 ?        S    Feb17   0:00 [UVM Tools Event Queue]
root         600  0.0  0.0      0     0 ?        I<   Feb17   0:03 [kworker/13:1H-kblockd]
root         605  0.0  0.0      0     0 ?        I<   Feb17   0:03 [kworker/3:1H-kblockd]
root         640  0.0  0.0      0     0 ?        S    Feb17   0:00 [scsi_eh_1]
root         641  0.0  0.0      0     0 ?        I<   Feb17   0:00 [kworker/R-scsi_tmf_1]
root         642  0.0  0.0      0     0 ?        S    Feb17   0:03 [usb-storage]
root         643  0.0  0.0      0     0 ?        S    Feb17   0:00 [scsi_eh_2]
root         644  0.0  0.0      0     0 ?        I<   Feb17   0:00 [kworker/R-scsi_tmf_2]
root         645  0.0  0.0      0     0 ?        S    Feb17   0:06 [usb-storage]
root         646  0.0  0.0      0     0 ?        S    Feb17   0:00 [scsi_eh_3]
root         647  0.0  0.0      0     0 ?        I<   Feb17   0:00 [kworker/R-scsi_tmf_3]
root         648  0.0  0.0      0     0 ?        S    Feb17   0:05 [usb-storage]
root         657  0.0  0.0      0     0 ?        I<   Feb17   0:00 [kworker/R-uas]
root         721  0.0  0.0      0     0 ?        S    Feb17   0:02 [irq/67-ASUE120A:00]
root         735  0.0  0.0      0     0 ?        I<   Feb17   0:00 [kworker/R-nvme-wq]
root         736  0.0  0.0      0     0 ?        I<   Feb17   0:00 [kworker/R-nvme-reset-wq]
root         737  0.0  0.0      0     0 ?        I<   Feb17   0:00 [kworker/R-nvme-delete-wq]
root         738  0.0  0.0      0     0 ?        I<   Feb17   0:00 [kworker/R-nvme-auth-wq]
root         754  0.0  0.0      0     0 ?        I<   Feb17   0:00 [kworker/R-USBC000:00-con1]
root         856  0.0  0.0      0     0 ?        I<   Feb17   0:00 [kworker/R-kdmflush/252:0]
root         857  0.0  0.0      0     0 ?        I<   Feb17   0:00 [kworker/R-kcryptd_io-252:0-1]
root         858  0.0  0.0      0     0 ?        I<   Feb17   0:00 [kworker/R-kcryptd-252:0-1]
root         859  0.0  0.0      0     0 ?        S    Feb17   0:42 [dmcrypt_write/252:0]
root         896  0.0  0.0      0     0 ?        I<   Feb17   0:00 [kworker/R-btrfs-worker]
root         897  0.0  0.0      0     0 ?        I<   Feb17   0:00 [kworker/R-btrfs-delalloc]
root         898  0.0  0.0      0     0 ?        I<   Feb17   0:00 [kworker/R-btrfs-flush_delalloc]
root         899  0.0  0.0      0     0 ?        I<   Feb17   0:00 [kworker/R-btrfs-cache]
root         900  0.0  0.0      0     0 ?        I<   Feb17   0:00 [kworker/R-btrfs-fixup]
root         901  0.0  0.0      0     0 ?        I<   Feb17   0:00 [kworker/R-btrfs-endio]
root         902  0.0  0.0      0     0 ?        I<   Feb17   0:00 [kworker/R-btrfs-endio-meta]
root         903  0.0  0.0      0     0 ?        I<   Feb17   0:00 [kworker/R-btrfs-rmw]
root         904  0.0  0.0      0     0 ?        I<   Feb17   0:00 [kworker/R-btrfs-endio-write]
root         905  0.0  0.0      0     0 ?        I<   Feb17   0:00 [kworker/R-btrfs-compressed-write]
root         906  0.0  0.0      0     0 ?        I<   Feb17   0:00 [kworker/R-btrfs-freespace-write]
root         907  0.0  0.0      0     0 ?        I<   Feb17   0:00 [kworker/R-btrfs-delayed-meta]
root         908  0.0  0.0      0     0 ?        I<   Feb17   0:00 [kworker/R-btrfs-qgroup-rescan]
root         909  0.0  0.0      0     0 ?        S    Feb17   0:00 [btrfs-cleaner]
root         910  0.0  0.0      0     0 ?        S    Feb17   1:13 [btrfs-transaction]
root        1021  0.0  0.4 352376 151256 ?       Ss   Feb17   0:14 /usr/lib/systemd/systemd-journald
root        1046  0.0  0.0  16604  6152 ?        Ss   Feb17   0:00 /usr/lib/systemd/systemd-userdbd
root        1051  0.0  0.0  18276  6928 ?        Ss   Feb17   0:01 /usr/lib/systemd/systemd-nsresourced
root        1081  0.0  0.0  42708 10228 ?        Ss   Feb17   0:01 /usr/lib/systemd/systemd-udevd
root        1088  0.0  0.0      0     0 ?        S    Feb17   0:00 [psimon]
root        1165  0.0  0.0      0     0 ?        I<   Feb17   0:00 [kworker/R-asus_wireless_workqueue]
root        1198  0.0  0.0      0     0 ?        I<   Feb17   0:00 [kworker/R-cfg80211]
root        1204  0.0  0.0      0     0 ?        I<   Feb17   0:00 [kworker/R-led_workqueue]
root        1217  0.0  0.0      0     0 ?        S    Feb17   0:00 [hwmon9]
root        1235  0.0  0.0      0     0 ?        S    Feb17   0:00 [napi/phy0-0]
root        1236  0.0  0.0      0     0 ?        S    Feb17   0:00 [napi/phy0-0]
root        1237  0.0  0.0      0     0 ?        S    Feb17   0:00 [napi/phy0-0]
root        1243  0.0  0.0      0     0 ?        S    Feb17   0:00 [jbd2/nvme0n1p2-8]
root        1244  0.0  0.0      0     0 ?        I<   Feb17   0:00 [kworker/R-ext4-rsv-conversion]
systemd+    1303  0.1  0.0  17336  8220 ?        Ss   Feb17   3:33 /usr/lib/systemd/systemd-oomd
root        1304  0.0  0.0  29224  3316 ?        S<sl Feb17   0:00 /usr/bin/auditd
root        1306  0.0  0.0   6604  3728 ?        S<   Feb17   0:00 /usr/sbin/sedispatch
systemd+    1308  0.0  0.0  24140 16432 ?        Ss   Feb17   0:20 /usr/lib/systemd/systemd-resolved
root        1325  0.0  0.0      0     0 ?        S    Feb17   0:00 [mt76-tx phy0]
root        1362  0.0  0.0      0     0 ?        I<   Feb17   0:00 [kworker/R-rpciod]
root        1363  0.0  0.0      0     0 ?        I<   Feb17   0:00 [kworker/R-xprtiod]
dbus        1636  0.0  0.0  10192  5776 ?        Ss   Feb17   0:00 /usr/bin/dbus-broker-launch --scope system --audit
dbus        1637  0.0  0.0  10688  8708 ?        S    Feb17   2:00 dbus-broker --log 10 --controller 9 --machine-id 8654fe9521164417bf1a41c9bda18e0c --max-bytes 536870912 --max-fds 4096 --max-matches 131072 --audit
avahi       1639  0.0  0.0   6632  4580 ?        Ss   Feb17   0:04 avahi-daemon: running [bazzite.local]
root        1640  0.0  0.0   9380  5436 ?        Ss   Feb17   0:18 /usr/libexec/bluetooth/bluetoothd
chrony      1643  0.0  0.0  86312  6536 ?        Ss   Feb17   0:00 /usr/sbin/chronyd -n -F 2
root        1645  0.0  0.0 252000 11248 ?        Ss   Feb17   0:00 /usr/bin/python3 /usr/bin/ds-inhibit
root        1647  0.0  0.1 457660 32896 ?        Ssl  Feb17   0:00 /usr/bin/python3 /usr/bin/input-remapper-service
root        1650  0.0  0.0 174652  8208 ?        Ssl  Feb17   1:15 /usr/bin/nvidia-powerd
polkitd     1652  0.0  0.0 614288 16300 ?        Ssl  Feb17   0:36 /usr/lib/polkit-1/polkitd --no-debug --log-level=notice
rtkit       1654  0.0  0.0  21772  3624 ?        SNsl Feb17   0:01 /usr/libexec/rtkit-daemon
root        1655  0.0  0.0  10092  5676 ?        Ss   Feb17   0:00 /usr/bin/smartd -n -q never --capabilities=mail
root        1656  0.0  0.0 531468  7088 ?        Ssl  Feb17   0:00 /usr/libexec/switcheroo-control
root        1657  0.0  0.0  17556  7976 ?        Ss   Feb17   0:06 /usr/lib/systemd/systemd-homed
root        1659  0.0  0.0  17236  8268 ?        Ss   Feb17   0:06 /usr/lib/systemd/systemd-machined
root        1668  0.0  0.0 617712 15080 ?        Ssl  Feb17   0:02 /usr/libexec/udisks2/udisksd
root        1669  0.1  0.0 542964 12072 ?        Ssl  Feb17   3:32 /usr/libexec/upowerd
root        1689  0.0  0.0      0     0 ?        S    Feb17   0:00 [psimon]
root        1714  0.0  0.0 534104  8336 ?        Ssl  Feb17   0:00 /usr/libexec/accounts-daemon
root        1720  0.0  0.0  20380 11872 ?        Ss   Feb17   0:01 /usr/lib/systemd/systemd-logind
avahi       1730  0.0  0.0   6496  1472 ?        S    Feb17   0:00 avahi-daemon: chroot helper
root        1794  0.0  0.0 391392 10848 ?        Ssl  Feb17   0:00 /usr/bin/ModemManager
root        1795  0.0  0.0 372468 32072 ?        Ssl  Feb17   0:00 /usr/bin/python3 -sP /usr/bin/firewalld --nofork --nopid
root        1813  0.0  0.0 302000 13968 ?        S    Feb17   0:00 /usr/bin/python3 /usr/bin/input-remapper-service
root        1862  0.0  0.0 556540 19700 ?        Ssl  Feb17   1:04 /usr/bin/NetworkManager --no-daemon
root        1881  0.0  0.0  18008  2768 ?        Ss   Feb17   0:03 /usr/libexec/iwd
root        1972  0.0  0.0 252472 11736 ?        Ss   Feb17   0:00 /usr/bin/cupsd -l
root        1974  0.0  0.0 282388  7824 ?        Ssl  Feb17   0:01 /usr/bin/gssproxy -i
root        1983  0.0  0.0 501676 30664 ?        Ssl  Feb17   0:24 /usr/bin/python3 -Es /usr/sbin/tuned -l -P
root        2091  0.0  0.0 501016 23240 ?        Ssl  Feb17   0:12 /usr/bin/python3 -Es /usr/sbin/tuned-ppd -l
root        2121  0.0  0.0 382648 23188 ?        Ssl  Feb17   0:00 /usr/bin/sddm
root        2130  0.0  0.0 306180  7596 ?        Ssl  Feb17   0:00 /usr/libexec/uresourced
root        2385  0.0  0.0      0     0 ?        S<   Feb17   0:00 [krfcommd]
root        2462  0.0  0.0 306780 22100 ?        S    Feb17   0:00 /usr/libexec/sddm-helper --socket /tmp/sddm-auth-c194056c-ae5f-4fc8-9e3a-1838c315e80c --id 1 --start /usr/libexec/plasma-dbus-run-session-if-needed /usr/bin/startplasma-wayland --user grouvya
grouvya     2482  0.0  0.0  25596 13464 ?        Ss   Feb17   0:14 /usr/lib/systemd/systemd --user
grouvya     2484  0.0  0.0  16820  1968 ?        S    Feb17   0:00 (sd-pam)
grouvya     2593  0.0  0.0   7552  4196 ?        Ss   Feb17   0:01 /usr/bin/mpris-proxy
grouvya     2608  0.0  0.0   9092  4436 ?        Ss   Feb17   0:00 /usr/bin/dbus-broker-launch --scope user
grouvya     2621  0.0  0.0  22552 20616 ?        S    Feb17   0:20 dbus-broker --log 11 --controller 10 --machine-id 8654fe9521164417bf1a41c9bda18e0c --max-bytes 100000000000000 --max-fds 25000000000000 --max-matches 5000000000
grouvya     2629  0.0  0.3 1044496 121176 ?      SLl  Feb17   0:00 /usr/bin/ksecretd --pam-login 13 14
grouvya     2630  0.0  0.1 539244 41504 tty2     Ssl+ Feb17   0:00 /usr/bin/startplasma-wayland
grouvya     2684  0.0  0.0   1056     8 ?        S    Feb17   0:00 catatonit -P
grouvya     3268  0.0  0.0 382972 18688 ?        Ssl  Feb17   0:00 /usr/bin/kwin_wayland_wrapper --xwayland
grouvya     3271  0.0  0.0 382096  9412 ?        Ssl  Feb17   0:04 /usr/libexec/uresourced --user
grouvya     3296  3.0  0.0 348700 20212 ?        S<sl Feb17  70:40 /usr/bin/pipewire
grouvya     3299  0.0  0.0 942552 25184 ?        S<sl Feb17   0:48 /usr/bin/wireplumber
grouvya     3302  0.0  0.0 456532 26676 ?        S<sl Feb17   0:47 /usr/bin/pipewire-pulse
grouvya     3307  0.0  0.0 268901008 26748 ?     SNsl Feb17   0:00 /usr/libexec/kf6/baloo_file
